Sample	Custom content: DupRadar_mqc-generalstats-custom_content_dupradar-dupRadar_intercept	Custom content: Biotype Counts_mqc-generalstats-custom_content_biotype_counts-percent_rRNA	Picard: Mark Duplicates_mqc-generalstats-picard_mark_duplicates-PERCENT_DUPLICATION	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	RSeQC_mqc-generalstats-rseqc-proper_pairs_percent	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Samtools_mqc-generalstats-samtools-mapped_passed_pct	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-median_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-median_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences
CONTROL_REP1	0.00117853405580349	0.0	0.350648	3.86	187755.0	64.65951192545461	0.001247563	744.0	375510.0	100.0	100.0	0.0015978269553407365	375510.0	376254	376254	100.0	96.85	187402.0													
CONTROL_REP1_1																			93.24690529417998	53.0	96.0706799016961	98	27.27272727272727	198161.0	1.7311837797932235	91.08658129463686	54.0	95.84762229594948	98	27.27272727272727	193506.0
CONTROL_REP1_2																			92.93150519022412	55.0	95.76536250826348	98	27.27272727272727	198161.0	1.6560592271152923	90.44008971298048	56.0	95.5678376897874	98	27.27272727272727	193506.0
CONTROL_REP2	0.000423258168651807	0.0	0.548406	1.37	205665.0	44.81540868773283	0.001772437	1528.0	411330.0	100.0	100.0	0.0	411330.0	412858	412858	100.0	85.84	204908.0													
CONTROL_REP2_1																			94.93187225145988	49.0	90.74009766684753	98	36.36363636363637	263549.0	6.271780629882838	89.38272949693334	50.0	90.0514797064048	98	36.36363636363637	238696.0
CONTROL_REP2_2																			94.63097943835871	48.0	90.25585375015652	98	36.36363636363637	263549.0	5.6366952169922575	88.51342293125984	49.0	89.69531119080337	98	36.36363636363637	238696.0
CONTROL_REP3	0.00103057532418933	0.0	0.382106	2.17	209133.0	61.37222659135865	0.001767248	1344.0	418266.0	100.0	100.0	0.001434493838848962	418266.0	419610	419610	100.0	94.95	208482.0													
CONTROL_REP3_1																			94.27604990335618	54.0	96.13857845721314	98	27.27272727272727	227640.0	2.4402462880595586	92.22837571959484	54.0	95.90142461560883	98	27.27272727272727	219568.0
CONTROL_REP3_2																			93.92549639782112	55.0	95.942848357055	98	27.27272727272727	227640.0	2.290793587214702	91.66408584128834	56.0	95.73459702688916	98	27.27272727272727	219568.0
CONTROL_REP4	0.000280478508832849	0.0	0.488011	0.8	132116.0	50.71464629340807	0.002475231	1214.0	264232.0	100.0	100.0	0.0	264232.0	265446	265446	100.0	80.64	131513.0													
CONTROL_REP4_1																			94.85047056602755	49.0	90.73696302888116	98	36.36363636363637	185415.0	7.913085924432892	88.68599039740988	50.0	89.92646598929366	98	36.36363636363637	163081.0
CONTROL_REP4_2																			94.52093951406304	48.0	90.49773750775287	98	36.36363636363637	185415.0	7.047136872932187	87.87105794053262	49.0	89.81388389818557	98	36.36363636363637	163081.0
