Module	Section	Sample Name	Source
Picard	DuplicationMetrics	CONTROL_REP3	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/picard/markduplicates/CONTROL_REP3.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	CONTROL_REP1	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/picard/markduplicates/CONTROL_REP1.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	CONTROL_REP2	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/picard/markduplicates/CONTROL_REP2.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	CONTROL_REP4	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/picard/markduplicates/CONTROL_REP4.markdup.sorted.MarkDuplicates.metrics.txt
QualiMap	rna_genome_results	CONTROL_REP1	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/qualimap/CONTROL_REP1/rnaseq_qc_results.txt
QualiMap	rna_genome_results	CONTROL_REP4	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/qualimap/CONTROL_REP4/rnaseq_qc_results.txt
QualiMap	rna_genome_results	CONTROL_REP3	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/qualimap/CONTROL_REP3/rnaseq_qc_results.txt
QualiMap	rna_genome_results	CONTROL_REP2	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/qualimap/CONTROL_REP2/rnaseq_qc_results.txt
QualiMap	rna_coverage_histogram	CONTROL_REP1	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/qualimap/CONTROL_REP1/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	CONTROL_REP4	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/qualimap/CONTROL_REP4/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
