task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	7b/9b32a6	20881	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1)	COMPLETED	0	2024-06-12 15:40:16.012	4.2s	3s	229.3%	545.7 MB	6.1 GB	31.7 MB	4.2 MB
6	41/170644	21411	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP2)	COMPLETED	0	2024-06-12 15:40:20.256	4.9s	4s	248.7%	427.9 MB	6.1 GB	37.4 MB	4.3 MB
10	44/176531	21992	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP4)	COMPLETED	0	2024-06-12 15:40:25.143	4.9s	3s	226.4%	517.1 MB	6 GB	29.4 MB	4.3 MB
1	47/868f8f	22543	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa)	COMPLETED	0	2024-06-12 15:40:30.026	1.9s	0ms	101.7%	4.7 MB	12 MB	133.5 MB	6.6 KB
2	88/7e3034	22553	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_FILTER (genome.fa)	COMPLETED	0	2024-06-12 15:40:30.031	3.2s	1s	99.6%	15.6 MB	19.9 MB	322 MB	187.5 MB
8	90/00940e	22536	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3)	COMPLETED	0	2024-06-12 15:40:30.020	4.5s	4s	249.6%	693.8 MB	6.1 GB	34 MB	4.2 MB
3	00/702d97	23824	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (CONTROL_REP1)	COMPLETED	0	2024-06-12 15:40:34.577	26s	10s	289.3%	306.9 MB	5.2 GB	686.2 MB	622.1 MB
7	c7/c3fbcc	25595	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (CONTROL_REP3)	COMPLETED	0	2024-06-12 15:41:00.579	10.7s	10s	311.1%	261.3 MB	5.2 GB	777.2 MB	709.7 MB
5	64/1b22d4	27290	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (CONTROL_REP2)	COMPLETED	0	2024-06-12 15:41:11.292	10.9s	11s	317.7%	241.9 MB	5.1 GB	828.7 MB	756.3 MB
9	8c/b35559	29114	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (CONTROL_REP4)	COMPLETED	0	2024-06-12 15:41:22.234	10s	9s	266.3%	242.5 MB	5.1 GB	586.9 MB	526.4 MB
11	46/f5b069	30964	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/genome.fa)	COMPLETED	0	2024-06-12 15:41:32.239	29.3s	6s	97.9%	251.6 MB	321.6 MB	495.4 MB	455.6 MB
15	90/bf8506	31839	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (CONTROL_REP4)	COMPLETED	0	2024-06-12 15:42:01.613	9s	4s	101.4%	7.1 MB	11.2 MB	24.5 MB	16.2 MB
12	6e/cb8e13	31796	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (CONTROL_REP1)	COMPLETED	0	2024-06-12 15:42:01.593	9.9s	7s	101.3%	7 MB	11.2 MB	29 MB	19.3 MB
13	ff/d46b99	31806	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (CONTROL_REP3)	COMPLETED	0	2024-06-12 15:42:01.604	10.9s	7s	101.1%	6.8 MB	11.2 MB	32.2 MB	21.4 MB
14	8d/a76cf0	31820	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (CONTROL_REP2)	COMPLETED	0	2024-06-12 15:42:01.608	10.9s	7s	101.1%	7 MB	11.2 MB	36.2 MB	24 MB
