## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT CONTROL_REP2.sorted.bam --OUTPUT CONTROL_REP2.markdup.sorted.bam --METRICS_FILE CONTROL_REP2.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE genome.fa --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jun 12 15:49:51 GMT 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	205665	1528	0	0	112788	1011	0.548406	109986

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.001682	60662	0	61195
2.0	1.156077	15144	947	14769
3.0	1.179875	6288	26	6218
4.0	1.183543	3239	4	3201
5.0	1.184108	1935	0	1909
6.0	1.184195	1195	0	1187
7.0	1.184209	834	0	833
8.0	1.184211	633	0	630
9.0	1.184211	492	0	490
10.0	1.184211	341	0	343
11.0	1.184211	313	0	308
12.0	1.184211	230	0	228
13.0	1.184211	202	0	199
14.0	1.184211	146	0	147
15.0	1.184211	124	0	126
16.0	1.184211	111	0	114
17.0	1.184211	99	0	95
18.0	1.184211	86	0	84
19.0	1.184211	63	0	63
20.0	1.184211	77	0	78
21.0	1.184211	49	0	49
22.0	1.184211	42	0	39
23.0	1.184211	46	0	49
24.0	1.184211	41	0	40
25.0	1.184211	45	0	44
26.0	1.184211	32	0	33
27.0	1.184211	23	0	22
28.0	1.184211	26	0	25
29.0	1.184211	21	0	27
30.0	1.184211	27	0	22
31.0	1.184211	16	0	18
32.0	1.184211	19	0	17
33.0	1.184211	16	0	16
34.0	1.184211	15	0	15
35.0	1.184211	10	0	10
36.0	1.184211	11	0	11
37.0	1.184211	11	0	10
38.0	1.184211	6	0	6
39.0	1.184211	8	0	8
40.0	1.184211	7	0	8
41.0	1.184211	10	0	9
42.0	1.184211	9	0	10
43.0	1.184211	6	0	5
44.0	1.184211	6	0	6
45.0	1.184211	8	0	9
46.0	1.184211	3	0	3
47.0	1.184211	4	0	3
48.0	1.184211	3	0	3
49.0	1.184211	6	0	6
50.0	1.184211	7	0	8
51.0	1.184211	7	0	6
52.0	1.184211	4	0	4
53.0	1.184211	5	0	5
54.0	1.184211	5	0	5
55.0	1.184211	3	0	4
56.0	1.184211	2	0	2
57.0	1.184211	2	0	1
58.0	1.184211	5	0	5
59.0	1.184211	4	0	4
60.0	1.184211	2	0	3
61.0	1.184211	3	0	2
62.0	1.184211	0	0	0
63.0	1.184211	4	0	4
64.0	1.184211	4	0	5
65.0	1.184211	4	0	4
66.0	1.184211	4	0	3
67.0	1.184211	6	0	6
68.0	1.184211	4	0	4
69.0	1.184211	2	0	3
70.0	1.184211	7	0	7
71.0	1.184211	2	0	1
72.0	1.184211	1	0	1
73.0	1.184211	1	0	1
74.0	1.184211	2	0	2
75.0	1.184211	0	0	0
76.0	1.184211	2	0	2
77.0	1.184211	0	0	0
78.0	1.184211	0	0	1
79.0	1.184211	2	0	1
80.0	1.184211	0	0	0
81.0	1.184211	2	0	2
82.0	1.184211	1	0	1
83.0	1.184211	0	0	0
84.0	1.184211	1	0	1
85.0	1.184211	1	0	1
86.0	1.184211	0	0	1
87.0	1.184211	1	0	0
88.0	1.184211	0	0	0
89.0	1.184211	0	0	0
90.0	1.184211	2	0	2
91.0	1.184211	0	0	1
92.0	1.184211	3	0	2
93.0	1.184211	0	0	0
94.0	1.184211	1	0	1
95.0	1.184211	0	0	0
96.0	1.184211	0	0	0
97.0	1.184211	0	0	0
98.0	1.184211	2	0	2
99.0	1.184211	1	0	1
100.0	1.184211	2	0	2
102.0	0	1	0	1
103.0	0	0	0	2
104.0	0	2	0	0
105.0	0	1	0	1
107.0	0	2	0	2
109.0	0	1	0	1
114.0	0	1	0	1
115.0	0	1	0	1
116.0	0	1	0	1
122.0	0	1	0	1
135.0	0	0	0	1
136.0	0	1	0	0
137.0	0	1	0	1
145.0	0	1	0	1
149.0	0	0	0	1
150.0	0	1	0	0
155.0	0	1	0	1
156.0	0	0	0	1
157.0	0	1	0	0
161.0	0	1	0	1
167.0	0	1	0	1
188.0	0	0	0	1
189.0	0	1	0	0
196.0	0	0	0	1
197.0	0	1	0	0
