#Transcript position	Transcript coverage profile
0.0	9.706772080526592
1.0	249.4001413492308
2.0	458.8441788012787
3.0	540.037754020882
4.0	553.4538884359015
5.0	590.5403955965189
6.0	587.4507457366647
7.0	720.4642244463827
8.0	789.4888085909537
9.0	999.0843285065087
10.0	1020.8165409926147
11.0	1161.7560508056408
12.0	1277.1146578910216
13.0	1423.1466870894785
14.0	1531.3033091447228
15.0	1575.1816456162617
16.0	1661.126766108199
17.0	1663.586489121256
18.0	1678.7708487149955
19.0	1686.1921556440495
20.0	1803.9638408280173
21.0	1720.0418782983902
22.0	1630.339125364914
23.0	1779.5142469658522
24.0	1828.6621676273217
25.0	1780.8268154702175
26.0	1737.4269217083306
27.0	1654.9703121976847
28.0	1633.0909505067045
29.0	1614.5185681687133
30.0	1597.0295465971515
31.0	1606.7625689200895
32.0	1576.7479727413925
33.0	1548.7182040308937
34.0	1497.5779513527361
35.0	1487.3732699041907
36.0	1545.3704973628307
37.0	1574.3351068826248
38.0	1543.8711060459927
39.0	1541.0606954791772
40.0	1501.687243314847
41.0	1439.7899689291726
42.0	1419.8840444412838
43.0	1288.4826661614331
44.0	1260.4916937907392
45.0	1226.5633758748031
46.0	1277.835202864773
47.0	1265.526676126919
48.0	1307.625312655825
49.0	1227.6481830130263
50.0	1167.2185376225514
51.0	1134.2584763835282
52.0	1061.636404486472
53.0	996.1743543191661
54.0	925.5752454015416
55.0	851.1265406024838
56.0	801.6606076395532
57.0	792.0967792832971
58.0	803.1973674329827
59.0	794.2823101854718
60.0	797.1307786019702
61.0	760.584446749083
62.0	706.734807249628
63.0	634.1652698618306
64.0	594.9380061079236
65.0	576.5016697296196
66.0	546.2483710438376
67.0	532.2653103135636
68.0	533.9596069602194
69.0	548.5001637800112
70.0	523.2010336393059
71.0	460.3701923816216
72.0	402.94099522877923
73.0	346.4354592729063
74.0	269.29070278769365
75.0	250.2350251886943
76.0	241.3760083661467
77.0	222.9723625045151
78.0	254.10697779276632
79.0	282.3641131420689
80.0	286.6796003706847
81.0	286.7812604233192
82.0	276.4492775662345
83.0	252.77111677793806
84.0	203.18835668268215
85.0	180.1372380748577
86.0	152.950011996124
87.0	146.97955431762114
88.0	136.1889924947882
89.0	118.15817959494132
90.0	86.74785634776252
91.0	69.31159947993325
92.0	55.223527144638325
93.0	56.3231838562423
94.0	61.63474127663589
95.0	63.61458941807299
96.0	18.90548499303041
97.0	0.8237924887515115
98.0	0.4372347578466987
99.0	0.0
