#Transcript position	Transcript coverage profile
0.0	1.525907895427385
1.0	63.59995457078068
2.0	129.42410860049074
3.0	163.76032126844802
4.0	187.57170853794986
5.0	244.76216018079344
6.0	292.63876388621185
7.0	371.5966584315527
8.0	401.6061162739393
9.0	491.8599344832209
10.0	471.6231554468096
11.0	500.5088534334052
12.0	533.5383979158868
13.0	534.5284656926012
14.0	536.8791435764963
15.0	545.1819566971445
16.0	570.8933142363361
17.0	564.1617259156548
18.0	545.66784755675
19.0	578.9330643267693
20.0	631.900832543446
21.0	631.9544536857705
22.0	593.2646297860578
23.0	605.4225818092784
24.0	618.9137447642125
25.0	633.03730195748
26.0	646.5842509712397
27.0	626.9964711645637
28.0	614.6266632637586
29.0	613.4248973321824
30.0	622.3144644864336
31.0	631.6723179488516
32.0	629.6219049234458
33.0	623.0044208774126
34.0	599.1936584212953
35.0	587.7107756598577
36.0	632.1652924712915
37.0	674.2484494578019
38.0	700.4662891376179
39.0	706.6067290103406
40.0	701.2689715623804
41.0	690.7994292319338
42.0	689.2485831514327
43.0	672.0795805351574
44.0	703.9600234117911
45.0	747.2911357574023
46.0	822.0467262800322
47.0	849.8374671372902
48.0	888.0519180500711
49.0	890.4276751570219
50.0	888.4242087066795
51.0	861.5635259197418
52.0	839.5870994855186
53.0	733.9415371356897
54.0	686.6064411288655
55.0	579.8596909508136
56.0	582.4996125644636
57.0	600.169754138576
58.0	628.1284681095696
59.0	658.4482903806046
60.0	728.4334147231189
61.0	730.858961951446
62.0	779.2753336733601
63.0	771.7302418047959
64.0	711.8603108670975
65.0	660.5363967720654
66.0	594.9676455120727
67.0	509.7810099631214
68.0	502.9907286239147
69.0	523.964821077479
70.0	497.79612414063354
71.0	516.4286036995513
72.0	539.9977086985724
73.0	492.81311343602965
74.0	427.1867027475585
75.0	428.6729215652878
76.0	396.65699374586563
77.0	383.3052708704664
78.0	408.82092858786535
79.0	409.4667012925959
80.0	384.5145125330214
81.0	391.36604661459796
82.0	371.04026468702835
83.0	340.76316159734733
84.0	365.835332545777
85.0	372.5139961755639
86.0	333.9109469373884
87.0	329.1981278815557
88.0	316.8073025687421
89.0	270.23673556054155
90.0	195.41882892554094
91.0	177.88990293282222
92.0	129.87742677909785
93.0	120.10247443018444
94.0	109.92705081179656
95.0	95.56189111557242
96.0	29.76221159614262
97.0	3.6851042141798045
98.0	1.7130485103924107
99.0	0.0
