Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
FBgn0261090	Sytbeta	3L	-	15014695	15064977	0.000000	0.000000	0.000000
FBgn0047338	CG32148	3L	+	15023492	15024009	0.000000	0.000000	0.000000
FBgn0036465	Rpn12R	3L	-	15041631	15042570	0.151596	4.127909	11.788689
FBgn0025776	ind	3L	-	15042799	15043924	0.000000	0.000000	0.000000
FBgn0263761	CG43678	3L	-	15049179	15049495	0.000000	0.000000	0.000000
FBgn0036466	CG18581	3L	-	15049550	15050209	0.000000	0.000000	0.000000
FBgn0036467	CG12310	3L	-	15050263	15050806	0.000000	0.000000	0.000000
FBgn0263762	CG43679	3L	-	15050856	15051425	0.000000	0.000000	0.000000
FBgn0036468	CG13461	3L	-	15051931	15052490	0.000000	0.000000	0.000000
FBgn0263763	CG43680	3L	-	15052998	15053351	0.000000	0.000000	0.000000
FBgn0036469	CG18649	3L	-	15053568	15054135	0.000000	0.000000	0.000000
FBgn0036470	CG13463	3L	+	15054777	15055565	0.000000	0.000000	0.000000
FBgn0036471	CG13460	3L	-	15061029	15061705	0.000000	0.000000	0.000000
FBgn0263767	CR43684	3L	-	15062207	15062622	0.000000	0.000000	0.000000
FBgn0086690	cp309	3L	-	15066081	15094724	0.000000	0.000000	0.000000
FBgn0036474	Or71a	3L	-	15076907	15078447	0.000000	0.000000	0.000000
FBgn0036476	CG6945	3L	-	15090823	15094719	0.000000	0.000000	0.000000
FBgn0027088	Aats-gly	3L	+	15095142	15097686	0.000000	0.000000	0.000000
FBgn0266452	CTPsyn	3L	+	15097914	15113003	0.000000	0.000000	0.000000
FBgn0264704	CR43973	3L	-	15098534	15099502	0.000000	0.000000	0.000000
FBgn0264703	CR43972	3L	-	15100054	15102040	0.000000	0.000000	0.000000
FBgn0266441	CG45071	3L	+	15105882	15110730	0.000000	0.000000	0.000000
FBgn0264702	CR43971	3L	-	15108001	15108935	0.000000	0.000000	0.000000
FBgn0036479	CG13458	3L	+	15113557	15116373	0.000000	0.000000	0.000000
FBgn0036480	Cep135	3L	+	15116737	15128029	0.000000	0.000000	0.000000
FBgn0036481	CG16959	3L	-	15119878	15125321	0.000000	0.000000	0.000000
FBgn0052847	CG32847	3L	+	15121572	15122301	0.000000	0.000000	0.000000
FBgn0036482	CG13457	3L	-	15127940	15131378	0.000000	0.000000	0.000000
FBgn0036483	CG12316	3L	-	15131508	15136934	0.000000	0.000000	0.000000
FBgn0065051	scaRNA:MeU5-U42	3L	-	15134550	15134660	0.000000	0.000000	0.000000
FBgn0014002	Pdi	3L	-	15137738	15142840	0.000000	0.000000	0.000000
FBgn0266945	CR45396	3L	+	15142131	15142800	0.000000	0.000000	0.000000
FBgn0003300	run	X	+	20690670	20697321	164.072495	5022.840820	14344.480469
FBgn0031129	CG1324	X	-	20734455	20735960	0.000000	0.000000	0.000000
FBgn0266419	CR45059	X	+	20739538	20740308	0.000000	0.000000	0.000000
FBgn0031130	CG15452	X	-	20744965	20745965	0.000000	0.000000	0.000000
FBgn0029768	SPR	X	+	5446656	5494012	0.000000	0.000000	0.000000
FBgn0029769	frma	X	-	5493014	5496052	0.000000	0.000000	0.000000
FBgn0052762	CG32762	X	-	5500208	5501229	0.000000	0.000000	0.000000
FBgn0029770	CG4151	X	+	5501476	5502782	0.000000	0.000000	0.000000
FBgn0267075	CR45519	X	+	5506509	5507255	0.000000	0.000000	0.000000
FBgn0029771	CG12730	X	+	5516608	5518771	0.000000	0.000000	0.000000
FBgn0267074	CR45518	X	-	5516993	5517500	0.000000	0.000000	0.000000
FBgn0086667	snoRNA:Psi28S-3342	X	-	5524302	5524465	0.000000	0.000000	0.000000
FBgn0263512	Vsx2	X	-	5528927	5560183	0.000000	0.000000	0.000000
