ID	geneLength	allCountsMulti	filteredCountsMulti	dupRateMulti	dupsPerIdMulti	RPKMulti	PKMMulti	allCounts	filteredCounts	dupRate	dupsPerId	RPK	RPKM
FBgn0031208	1880	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0002121	5986	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031209	2629	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0263584	2230	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0051973	10793	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0266878	244	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0266879	207	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0067779	4499	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0266322	2798	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031213	2751	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031214	1378	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0002931	2225	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031216	6476	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031217	1583	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0026787	2551	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0005278	3559	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031228	1135	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031219	1124	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031220	4224	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0025683	3148	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0266304	1062	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0001142	2396	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0265074	727	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0265075	502	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0051976	2206	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0051975	2206	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0051974	1908	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031224	905	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0259818	5305	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031227	1699	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031229	1381	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0053635	769	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0016977	23035	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031231	903	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031232	1357	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031233	3348	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0266557	19229	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0265151	400	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0265153	1190	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0265152	552	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0263465	88	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031235	1660	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0262252	107	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0265149	904	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0022246	1105	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031238	1942	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031239	7557	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0265150	754	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031240	2417	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0086912	1756	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0086856	931	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0086855	3132	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0003444	4008	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031244	1452	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031245	1974	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0025686	1893	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031247	748	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0017457	1655	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0024352	2023	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0020622	4938	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0004611	7774	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0263872	812	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031248	898	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031249	970	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0053127	991	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0264086	2873	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0051921	2426	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031250	1972	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0266907	1229	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0266906	846	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0000061	1806	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0263871	452	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031251	4436	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0003278	3564	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0264855	4872	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0263933	3327	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031252	1219	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0002593	768	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031253	556	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031254	665	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031255	2259	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0004583	6672	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0263870	566	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0015924	2848	0	0	NA	0	0	0	0	0	NA	0	0	0
