gene_id	gene_name	CONTROL_REP1	CONTROL_REP2	CONTROL_REP3	CONTROL_REP4
FBgn0000003	7SLRNA:CR32864	100.00475	100.00475	100.00475	100.00475
FBgn0000008	a	4385.25175	4385.25175	4385.25175	4385.25175
FBgn0000014	abd-A	4295.00175	4295.00175	4295.00175	4295.00175
FBgn0000015	Abd-B	3113.46603571429	3113.46603571429	3113.46603571429	3113.46603571429
FBgn0000017	Abl	7036.35175	7036.35175	7036.35175	7036.35175
FBgn0000018	abo	1533.75175	1533.75175	1533.75175	1533.75175
FBgn0000022	ac	656.78225	656.78225	656.78225	656.78225
FBgn0000024	Ace	4845.75175	4845.75175	4845.75175	4845.75175
FBgn0000028	acj6	2564.52098076923	2564.52098076923	2564.52098076923	2564.52098076923
FBgn0000032	Acph-1	1656.25175	1656.25175	1656.25175	1656.25175
FBgn0000036	nAChRalpha1	5966.08508333333	5966.08508333333	5966.08508333333	5966.08508333333
FBgn0000037	mAChR-A	5137.25175	5137.25175	5137.25175	5137.25175
FBgn0000038	nAChRbeta1	1378.81225	1378.81225	1378.81225	1378.81225
FBgn0000039	nAChRalpha2	2092.75175	2092.75175	2092.75175	2092.75175
FBgn0000042	Act5C	1555.43598492452	1815.38782802188	1550.4912277338	1745.91115845405
FBgn0000043	Act42A	1365.75175	1365.75175	1365.75175	1365.75175
FBgn0000044	Act57B	1463.75175	1463.75175	1463.75175	1463.75175
FBgn0000045	Act79B	1320.75175	1320.75175	1320.75175	1320.75175
FBgn0000046	Act87E	1427.41841666667	1427.41841666667	1427.41841666667	1427.41841666667
FBgn0000047	Act88F	1334.75175	1334.75175	1334.75175	1334.75175
FBgn0000052	ade2	4038.08508333333	4038.08508333333	4038.08508333333	4038.08508333333
FBgn0000053	ade3	3324.41841666667	3324.41841666667	3324.41841666667	3324.41841666667
FBgn0000054	Adf1	1441.25175	1441.25175	1441.25175	1441.25175
FBgn0000055	Adh	1218.35175	1218.35175	1218.35175	1218.35175
FBgn0000056	Adhr	1412.7625	1412.7625	1412.7625	1412.7625
FBgn0000057	adp	2005.75175	2005.75175	2005.75175	2005.75175
FBgn0000061	al	1545.75175	1545.75175	1545.75175	1545.75175
FBgn0000063	ald	1866.75175	1866.75175	1866.75175	1866.75175
FBgn0000064	Ald	1469.95175	1469.95175	1469.95175	1469.95175
FBgn0000071	Ama	1373.41841666667	1373.41841666667	1373.41841666667	1373.41841666667
FBgn0000075	amd	1510.25175	1510.25175	1510.25175	1510.25175
FBgn0000077	amx	1056.25175	1056.25175	1056.25175	1056.25175
FBgn0000078	Amy-d	1345.75175	1345.75175	1345.75175	1345.75175
FBgn0000079	Amy-p	1371.25175	1371.25175	1371.25175	1371.25175
FBgn0000083	AnxB9	1086.58508333333	1086.58508333333	1086.58508333333	1086.58508333333
FBgn0000084	AnxB10	985.25175	985.25175	985.25175	985.25175
FBgn0000092	CG2650	752.75175	752.75175	752.75175	752.75175
FBgn0000094	Anp	115.71675	115.71675	115.71675	115.71675
FBgn0000097	aop	4179.35175	4179.35175	4179.35175	4179.35175
FBgn0000099	ap	2744.50175	2744.50175	2744.50175	2744.50175
FBgn0000100	RpLP0	1009.25175	1009.25175	1009.25175	1009.25175
FBgn0000108	Appl	5436.08508333333	5436.08508333333	5436.08508333333	5436.08508333333
FBgn0000109	Aprt	611.488083333333	611.488083333333	611.488083333333	611.488083333333
FBgn0000114	aret	2800.15175	2800.15175	2800.15175	2800.15175
FBgn0000115	Arl1	602.8075	602.8075	602.8075	602.8075
FBgn0000116	Argk	1745.46603571429	1745.46603571429	1745.46603571429	1745.46603571429
FBgn0000117	arm	2892.58508333333	2892.58508333333	2892.58508333333	2892.58508333333
FBgn0000119	arr	5763.75175	5763.75175	5763.75175	5763.75175
FBgn0000120	Arr1	1445.75175	1445.75175	1445.75175	1445.75175
FBgn0000121	Arr2	1286.75175	1286.75175	1286.75175	1286.75175
FBgn0000137	ase	2169.75175	2169.75175	2169.75175	2169.75175
FBgn0000139	ash2	1284.08508333333	1284.08508333333	1284.08508333333	1284.08508333333
FBgn0000140	asp	6077.75175	6077.75175	6077.75175	6077.75175
FBgn0000146	aub	2556.25175	2556.25175	2556.25175	2556.25175
FBgn0000147	aurA	1316.75175	1316.75175	1316.75175	1316.75175
FBgn0000150	awd	387.732916666667	387.732916666667	387.732916666667	387.732916666667
FBgn0000152	Axs	2314.75175	2314.75175	2314.75175	2314.75175
FBgn0000153	b	1802.08508333333	1802.08508333333	1802.08508333333	1802.08508333333
FBgn0000157	Dll	2242.08508333333	2242.08508333333	2242.08508333333	2242.08508333333
FBgn0000158	bam	1633.75175	1633.75175	1633.75175	1633.75175
FBgn0000163	baz	13541.25175	13541.25175	13541.25175	13541.25175
FBgn0000166	bcd	2049.55175	2049.55175	2049.55175	2049.55175
FBgn0000173	ben	1421.1664	1421.1664	1421.1664	1421.1664
FBgn0000179	bi	4551.60889285714	4551.60889285714	4551.60889285714	4551.60889285714
FBgn0000180	bib	3015.75175	3015.75175	3015.75175	3015.75175
FBgn0000181	bic	972.759875	972.759875	972.759875	972.759875
FBgn0000182	BicC	3363.08508333333	3363.08508333333	3363.08508333333	3363.08508333333
FBgn0000183	BicD	4080.75175	4080.75175	4080.75175	4080.75175
FBgn0000206	boss	2752.75175	2752.75175	2752.75175	2752.75175
FBgn0000210	br	4573.82317857143	4573.82317857143	4573.82317857143	4573.82317857143
FBgn0000212	brm	5111.58508333333	5111.58508333333	5111.58508333333	5111.58508333333
FBgn0000216	Brd	277.0755	277.0755	277.0755	277.0755
FBgn0000221	brn	1189.75175	1189.75175	1189.75175	1189.75175
FBgn0000227	Bsg25A	1091.75175	1091.75175	1091.75175	1091.75175
FBgn0000228	Bsg25D	3727.46603571429	3727.46603571429	3727.46603571429	3727.46603571429
FBgn0000229	bsk	1402.08508333333	1402.08508333333	1402.08508333333	1402.08508333333
FBgn0000233	btd	2673.75175	2673.75175	2673.75175	2673.75175
FBgn0000239	bur	2755.25175	2755.25175	2755.25175	2755.25175
FBgn0000241	bw	2357.75175	2357.75175	2357.75175	2357.75175
FBgn0000244	by	3788.08508333333	3788.08508333333	3788.08508333333	3788.08508333333
FBgn0000246	c(3)G	2353.08508333333	2353.08508333333	2353.08508333333	2353.08508333333
FBgn0000247	ca	6451.75175	6451.75175	6451.75175	6451.75175
FBgn0000250	cact	1825.95175	1825.95175	1825.95175	1825.95175
FBgn0000251	cad	2219.41841666667	2219.41841666667	2219.41841666667	2219.41841666667
FBgn0000253	Cam	2279.08655	2279.08655	2279.08655	2279.08655
FBgn0000256	capu	3673.64063888889	3673.64063888889	3673.64063888889	3673.64063888889
FBgn0000257	car	2887.41841666667	2887.41841666667	2887.41841666667	2887.41841666667
FBgn0000259	CkIIbeta	1416.35755	1416.35755	1416.35755	1416.35755
FBgn0000261	Cat	1732.75175	1732.75175	1732.75175	1732.75175
FBgn0000273	Pka-C1	4708.41841666667	4708.41841666667	4708.41841666667	4708.41841666667
FBgn0000274	Pka-C2	1087.25175	1087.25175	1087.25175	1087.25175
FBgn0000276	CecA1	124.96625	124.96625	124.96625	124.96625
FBgn0000277	CecA2	135.346	135.346	135.346	135.346
FBgn0000278	CecB	185.427	185.427	185.427	185.427
FBgn0000279	CecC	156.878	156.878	156.878	156.878
FBgn0000280	Cec-Psi1	26.28475	26.28475	26.28475	26.28475
FBgn0000281	Cec2	43.87675	43.87675	43.87675	43.87675
