tx	gene_id	CONTROL_REP1	CONTROL_REP2	CONTROL_REP3	CONTROL_REP4
FBtr0300689	FBgn0031208	1554.636	1667.99	1588.663	1667.718
FBtr0300690	FBgn0031208	1476.636	1589.99	1510.663	1589.718
FBtr0330654	FBgn0031208	1518.636	1631.99	1552.663	1631.718
FBtr0078170	FBgn0002121	4922.636	5035.99	4956.663	5035.718
FBtr0078171	FBgn0002121	5065.636	5178.99	5099.663	5178.718
FBtr0306589	FBgn0002121	4989.636	5102.99	5023.663	5102.718
FBtr0078169	FBgn0002121	4756.636	4869.99	4790.663	4869.718
FBtr0078168	FBgn0002121	4899.636	5012.99	4933.663	5012.718
FBtr0330655	FBgn0002121	4955.636	5068.99	4989.663	5068.718
FBtr0306590	FBgn0002121	4853.636	4966.99	4887.663	4966.718
FBtr0306591	FBgn0002121	5064.636	5177.99	5098.663	5177.718
FBtr0306592	FBgn0002121	5202.636	5315.99	5236.663	5315.718
FBtr0078167	FBgn0002121	4904.636	5017.99	4938.663	5017.718
FBtr0078166	FBgn0002121	4829.636	4942.99	4863.663	4942.718
FBtr0113008	FBgn0031209	2303.636	2416.99	2337.663	2416.718
FBtr0309810	FBgn0263584	1904.636	2017.99	1938.663	2017.718
FBtr0309229	FBgn0051973	6679.636	6792.99	6713.663	6792.718
FBtr0309228	FBgn0051973	6940.636	7053.99	6974.663	7053.718
FBtr0309227	FBgn0051973	3591.636	3704.99	3625.663	3704.718
FBtr0309225	FBgn0051973	5824.636	5937.99	5858.663	5937.718
FBtr0113416	FBgn0051973	4021.636	4134.99	4055.663	4134.718
FBtr0078163	FBgn0051973	4024.636	4137.99	4058.663	4137.718
FBtr0078164	FBgn0051973	6901.636	7014.99	6935.663	7014.718
FBtr0309226	FBgn0051973	6257.636	6370.99	6291.663	6370.718
FBtr0345732	FBgn0266878	62.407	73.284	59.776	74.394
FBtr0345733	FBgn0266879	44.572	49.339	43.674	50.287
FBtr0306539	FBgn0067779	3827.636	3940.99	3861.663	3940.718
FBtr0306538	FBgn0067779	3128.636	3241.99	3162.663	3241.718
FBtr0306536	FBgn0067779	3405.636	3518.99	3439.663	3518.718
FBtr0306537	FBgn0067779	3463.636	3576.99	3497.663	3576.718
FBtr0078100	FBgn0067779	3714.636	3827.99	3748.663	3827.718
FBtr0344053	FBgn0266322	2360.636	2473.99	2394.663	2473.718
FBtr0344052	FBgn0266322	2472.636	2585.99	2506.663	2585.718
FBtr0306540	FBgn0031213	1104.636	1217.99	1138.663	1217.718
FBtr0078101	FBgn0031213	1515.636	1628.99	1549.663	1628.718
FBtr0331680	FBgn0031213	1210.636	1323.99	1244.663	1323.718
FBtr0302164	FBgn0031213	1132.636	1245.99	1166.663	1245.718
FBtr0301733	FBgn0031213	1368.636	1481.99	1402.663	1481.718
FBtr0306541	FBgn0031214	1052.636	1165.99	1086.663	1165.718
FBtr0290323	FBgn0002931	1899.636	2012.99	1933.663	2012.718
FBtr0330637	FBgn0002931	1336.636	1449.99	1370.663	1449.718
FBtr0078103	FBgn0031216	6150.636	6263.99	6184.663	6263.718
FBtr0078104	FBgn0031217	1257.636	1370.99	1291.663	1370.718
FBtr0330636	FBgn0031217	895.636	1008.99	929.663	1008.718
FBtr0301452	FBgn0026787	2225.636	2338.99	2259.663	2338.718
FBtr0089437	FBgn0005278	2061.636	2174.99	2095.663	2174.718
FBtr0308091	FBgn0005278	635.667	749.001	669.671	748.75
FBtr0089428	FBgn0005278	1858.636	1971.99	1892.663	1971.718
FBtr0089429	FBgn0005278	1967.636	2080.99	2001.663	2080.718
FBtr0330656	FBgn0005278	1972.636	2085.99	2006.663	2085.718
FBtr0089432	FBgn0005278	1957.636	2070.99	1991.663	2070.718
FBtr0089431	FBgn0005278	2054.636	2167.99	2088.663	2167.718
FBtr0089430	FBgn0005278	2054.636	2167.99	2088.663	2167.718
FBtr0089433	FBgn0005278	2027.636	2140.99	2061.663	2140.718
FBtr0089435	FBgn0005278	1983.636	2096.99	2017.663	2096.718
FBtr0089434	FBgn0005278	2103.636	2216.99	2137.663	2216.718
FBtr0089436	FBgn0005278	1645.636	1758.99	1679.663	1758.718
FBtr0330639	FBgn0031228	266.271	376.139	295.102	376.413
FBtr0330638	FBgn0031228	354.174	466.776	386.739	466.679
FBtr0306542	FBgn0031228	333.724	445.956	365.77	445.87
FBtr0336838	FBgn0031219	492.775	606.183	526.697	605.836
FBtr0078160	FBgn0031219	798.636	911.99	832.663	911.718
FBtr0100307	FBgn0031220	2423.636	2536.99	2457.663	2536.718
FBtr0330646	FBgn0031220	2131.636	2244.99	2165.663	2244.718
FBtr0078157	FBgn0031220	2416.636	2529.99	2450.663	2529.718
FBtr0100309	FBgn0031220	2271.636	2384.99	2305.663	2384.718
FBtr0100308	FBgn0031220	2559.636	2672.99	2593.663	2672.718
FBtr0078158	FBgn0031220	2330.636	2443.99	2364.663	2443.718
FBtr0078156	FBgn0031220	2130.636	2243.99	2164.663	2243.718
FBtr0078159	FBgn0031220	3682.636	3795.99	3716.663	3795.718
FBtr0100310	FBgn0031220	2179.636	2292.99	2213.663	2292.718
FBtr0078154	FBgn0025683	2452.636	2565.99	2486.663	2565.718
FBtr0100379	FBgn0025683	2538.636	2651.99	2572.663	2651.718
FBtr0078153	FBgn0025683	2433.636	2546.99	2467.663	2546.718
FBtr0078155	FBgn0025683	2519.636	2632.99	2553.663	2632.718
FBtr0344032	FBgn0266304	736.636	849.99	770.663	849.718
FBtr0300568	FBgn0001142	1373.636	1486.99	1407.663	1486.718
FBtr0078114	FBgn0001142	1850.636	1963.99	1884.663	1963.718
FBtr0078115	FBgn0001142	2070.636	2183.99	2104.663	2183.718
FBtr0336836	FBgn0265074	402.275	515.465	435.708	515.335
FBtr0336837	FBgn0265075	193.779	294.821	213.553	295.86
FBtr0346127	FBgn0051976	688.636	801.99	722.663	801.718
FBtr0302194	FBgn0051976	1880.636	1993.99	1914.663	1993.718
FBtr0302196	FBgn0051975	1880.636	1993.99	1914.663	1993.718
FBtr0302195	FBgn0051975	1009.636	1122.99	1043.663	1122.718
FBtr0330644	FBgn0051974	1054.636	1167.99	1088.663	1167.718
FBtr0300987	FBgn0051974	1512.636	1625.99	1546.663	1625.718
FBtr0330645	FBgn0051974	1582.636	1695.99	1616.663	1695.718
FBtr0078116	FBgn0031224	579.688	693.007	613.696	692.751
FBtr0330643	FBgn0259818	4973.636	5086.99	5007.663	5086.718
FBtr0301929	FBgn0259818	4979.636	5092.99	5013.663	5092.718
FBtr0078147	FBgn0031227	1373.636	1486.99	1407.663	1486.718
FBtr0330642	FBgn0031228	472.805	586.204	506.7	585.837
FBtr0330641	FBgn0031228	543.717	657.031	577.696	656.772
FBtr0301886	FBgn0031228	249.853	358.447	277.339	359.011
FBtr0301887	FBgn0031228	197.665	299.528	218.198	300.518
FBtr0330640	FBgn0031228	141.777	213.843	141.518	215.475
FBtr0078117	FBgn0031228	181.623	279.642	198.674	280.743
FBtr0078118	FBgn0031228	300.879	412.468	331.898	412.516
FBtr0340650	FBgn0031229	1055.636	1168.99	1089.663	1168.718
