gene_id	gene_name	CONTROL_REP1	CONTROL_REP2	CONTROL_REP3	CONTROL_REP4
FBgn0000003	7SLRNA:CR32864	0	0	0	0
FBgn0000008	a	0	0	0	0
FBgn0000014	abd-A	0	0	0	0
FBgn0000015	Abd-B	0	0	0	0
FBgn0000017	Abl	0	0	0	0
FBgn0000018	abo	0	0	0	0
FBgn0000022	ac	0	0	0	0
FBgn0000024	Ace	0	0	0	0
FBgn0000028	acj6	0	0	0	0
FBgn0000032	Acph-1	0	0	0	0
FBgn0000036	nAChRalpha1	0	0	0	0
FBgn0000037	mAChR-A	0	0	0	0
FBgn0000038	nAChRbeta1	0	0	0	0
FBgn0000039	nAChRalpha2	0	0	0	0
FBgn0000042	Act5C	983570.479363	987935.292251	992943.700039	993861.770842
FBgn0000043	Act42A	0	0	0	0
FBgn0000044	Act57B	0	0	0	0
FBgn0000045	Act79B	0	0	0	0
FBgn0000046	Act87E	0	0	0	0
FBgn0000047	Act88F	0	0	0	0
FBgn0000052	ade2	0	0	0	0
FBgn0000053	ade3	0	0	0	0
FBgn0000054	Adf1	0	0	0	0
FBgn0000055	Adh	0	0	0	0
FBgn0000056	Adhr	0	0	0	0
FBgn0000057	adp	0	0	0	0
FBgn0000061	al	0	0	0	0
FBgn0000063	ald	0	0	0	0
FBgn0000064	Ald	0	0	0	0
FBgn0000071	Ama	0	0	0	0
FBgn0000075	amd	0	0	0	0
FBgn0000077	amx	0	0	0	0
FBgn0000078	Amy-d	0	0	0	0
FBgn0000079	Amy-p	0	0	0	0
FBgn0000083	AnxB9	0	0	0	0
FBgn0000084	AnxB10	0	0	0	0
FBgn0000092	CG2650	0	0	0	0
FBgn0000094	Anp	0	0	0	0
FBgn0000097	aop	0	0	0	0
FBgn0000099	ap	0	0	0	0
FBgn0000100	RpLP0	0	0	0	0
FBgn0000108	Appl	0	0	0	0
FBgn0000109	Aprt	0	0	0	0
FBgn0000114	aret	0	0	0	0
FBgn0000115	Arl1	0	0	0	0
FBgn0000116	Argk	0	0	0	0
FBgn0000117	arm	0	0	0	0
FBgn0000119	arr	0	0	0	0
FBgn0000120	Arr1	0	0	0	0
FBgn0000121	Arr2	0	0	0	0
FBgn0000137	ase	0	0	0	0
FBgn0000139	ash2	0	0	0	0
FBgn0000140	asp	0	0	0	0
FBgn0000146	aub	0	0	0	0
FBgn0000147	aurA	0	0	0	0
FBgn0000150	awd	0	0	0	0
FBgn0000152	Axs	0	0	0	0
FBgn0000153	b	0	0	0	0
